訂單編號,日期,星期,分店,時段,天氣,會員編號,品項,類別,數量,單價,金額
A22776,2026-08-16,星期日,信義店,早上,陰,M0867,美式咖啡,咖啡,2,70,140.0
A22040,2026-08-08,星期六,信義店,晚上,雨,M1749,起司蛋糕,烘焙,3,120,360.0
A21531,2026-08-01,星期六,板橋店,早上,雨,M1029,可頌,烘焙,1,60,60.0
A23681,2026-08-28,星期五,信義店,早上,晴,,卡布奇諾,咖啡,3,95,285.0
A23589,2026/08/27,星期四,信義店,下午,晴,M0368,美式咖啡,咖啡,1,70,70.0
A21818,2026-08-05,星期三,中壢店,早上,雨,M1405,起司蛋糕,烘焙,3,120,360.0
A21929,2026-08-07,星期五,信義店,下午,晴,M0280,肉桂捲,烘焙,1,85,85.0
A22507,2026-08-13,星期四,中壢店,下午,晴,M1306,美式咖啡,咖啡,1,70,70.0
A23470,2026-08-25,星期二,信義店,早上,雨,M1583,肉桂捲,烘焙,2,85,170.0
A23378,2026-08-23,星期日,信義店,早上,雨,,美式咖啡,咖啡,2,70,140.0
A23942,20260830,星期日,中壢店,下午,晴,M0066,紅茶,茶飲,2,50,100.0
A22278,2026-08-10,星期一,板橋店,下午,晴,,起司蛋糕,烘焙,1,120,120.0
A22374,2026-08-12,星期三,信義店,下午,陰,M0392,拿鐵,咖啡,3,90,270.0
A21558,2026-08-01,星期六,中壢店,早上,雨,,拿鐵,咖啡,1,90,
A22304,2026-08-10,星期一,中壢店,下午,晴,M1996,紅茶,茶飲,2,50,100.0
A22969,2026-08-18,星期二,板橋店,下午,陰,,美式咖啡,咖啡,2,70,140.0
A22700,2026-08-15,星期六,板橋店,下午,晴,M1922,拿鐵,咖啡,1,90,90.0
A23688,2026-08-28,星期五,信義店,早上,晴,,拿鐵,咖啡,1,90,90.0
A22328,2026-08-11,星期二,板橋店,早上,雨,M1437,抹茶拿鐵,茶飲,2,100,200.0
A22704,2026-08-15,星期六,板橋店,下午,晴,M0472,抹茶拿鐵,茶飲,1,100,100.0
A21647,2026-08-02,星期日,中壢店,晚上,陰,M0078,拿鐵,咖啡,1,90,90.0
A23180,2026-08-21,星期五,板橋店,早上,陰,M1480,紅茶,茶飲,3,50,150.0
A23546,2026-08-26,星期三,信義店,早上,陰,M1057,拿鐵,咖啡,1,90,90.0
A23424,2026-08-24,星期一,信義店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23721,2026-08-28,星期五,板橋店,晚上,晴,M0108,肉桂捲,烘焙,3,85,255.0
A22428,2026-08-12,星期三,中壢店,早上,陰,,卡布奇諾,咖啡,3,95,285.0
A22635,2026-08-15,星期六,信義店,晚上,晴,M0414,美式咖啡,咖啡,1,70,70.0
A22497,2026-08-13,星期四,中壢店,下午,晴,M0145,肉桂捲,烘焙,1,85,85.0
A21831,2026-08-05,星期三,中壢店,下午,雨,M0233,拿鐵,咖啡,8,90,720.0
A23356,2026-08-22,星期六,中壢店,早上,晴,M1071,拿鐵,咖啡,1,90,90.0
X0016,2026-08-19,星期三,信義店,早上,晴,,美式咖啡,咖啡,-2,70,-140.0
A23405,2026-08-23,星期日,中壢店,下午,雨,,紅茶,茶飲,1,50,50.0
A22329,2026-08-11,星期二,板橋店,早上,雨,,紅茶,茶飲,2,50,100.0
A23154,2026-08-21,星期五,信義店,下午,陰,,抹茶拿鐵,茶飲,2,100,200.0
A22502,2026-08-13,星期四,中壢店,下午,晴,,紅茶,茶飲,1,50,50.0
A22998,2026-08-19,星期三,信義店,晚上,晴,,美式咖啡,咖啡,2,70,140.0
A21527,2026-08-01,星期六,板橋店,早上,雨,,拿鐵,咖啡,2,90,180.0
A23663,2026-08-28,星期五,信義店,下午,晴,M1976,拿鐵,咖啡,1,90,90.0
A21912,2026-08-06,星期四,中壢店,早上,陰,M0715,紅茶,茶飲,1,50,50.0
A21891,2026/08/06,星期四,板橋店,晚上,陰,M1390,拿鐵,咖啡,2,90,180.0
A23038,2026-08-19,星期三,板橋,早上,晴,,紅茶,茶飲,3,50,150.0
A23081,2026-08-20,星期四,信義店,下午,晴,M1572,紅茶,茶飲,1,50,50.0
A23508,2026-08-25,星期二,中壢店,下午,雨,,肉桂捲,烘焙,2,85,170.0
A23703,2026-08-28,星期五,板橋店,下午,晴,M1998,可頌,烘焙,1,60,60.0
A24006,2026-08-31,星期一,板橋店,早上,晴,,起司蛋糕,烘焙,1,120,120.0
A22771,2026-08-16,星期日,信義店,早上,陰,M1859,卡布奇諾,咖啡,2,95,190.0
A22690,2026-08-15,星期六,板橋店,早上,晴,,卡布奇諾,咖啡,2,95,190.0
A21511,2026-08-01,星期六,板橋店,晚上,雨,M0280,美式咖啡,咖啡,2,70,140.0
A22591,2026-08-14,星期五,中壢店,早上,晴,M0388,肉桂捲,烘焙,1,85,85.0
A23526,2026-08-26,星期三,信義店,早上,陰,M0059,起司蛋糕,烘焙,2,120,240.0
A22377,2026-08-12,星期三,信義店,下午,陰,M1875,卡布奇諾,咖啡,1,95,95.0
A23450,2026-08-24,星期一,板橋店,晚上,晴,M0457,紅茶,茶飲,3,50,150.0
A22095,2026-08-09,星期日,信義店,晚上,晴,M0176,美式咖啡,咖啡,2,70,140.0
A23924,2026-08-30,星期日,板橋店,晚上,晴,M0210,美式咖啡,咖啡,2,70,140.0
A24011,2026/08/31,星期一,板橋店,下午,晴,M1612,拿鐵,咖啡,1,90,90.0
A23240,20260821,星期五,中壢店,早上,陰,M0151,肉桂捲,烘焙,1,85,85.0
A21777,2026-08-04,星期二,中壢店,早上,雨,M0616,肉桂捲,烘焙,1,85,85.0
A23030,2026-08-19,星期三,板橋店,下午,晴,,抹茶拿鐵,茶飲,1,100,100.0
A22317,2026-08-11,星期二,信義店,下午,雨,,拿鐵,咖啡,2,90,180.0
A22746,2026-08-15,星期六,中壢店,早上,晴,M0220,可頌,烘焙,2,60,120.0
A22116,2026-08-09,星期日,信義店,早上,晴,,紅茶,茶飲,1,50,50.0
A21882,2026-08-06,星期四,板橋店,晚上,陰,M1121,肉桂捲,烘焙,2,85,170.0
A21877,2026-08-06,星期四,板橋店,早上,陰,,美式咖啡,咖啡,1,70,
A23513,2026-08-25,星期二,中壢店,早上,雨,,可頌,烘焙,3,60,180.0
A23731,2026-08-28,星期五,中壢店,下午,晴,,卡布奇諾,咖啡,1,95,95.0
A22510,2026-08-13,星期四,中壢店,早上,晴,M0139,可頌,烘焙,2,60,120.0
A22324,2026-08-11,星期二,信義店,下午,雨,M0856,美式咖啡,咖啡,1,70,70.0
A22491,2026-08-13,星期四,板橋店,早上,晴,M1329,抹茶拿鐵,茶飲,2,100,200.0
A23228,2026-08-21,星期五,中壢店,早上,陰,,美式咖啡,咖啡,1,70,70.0
A22617,2026-08-14,星期五,中壢店,下午,晴,M0200,拿鐵,咖啡,1,90,90.0
A22393,2026-08-12,星期三,板橋店,早上,陰,M1729,抹茶拿鐵,茶飲,2,100,200.0
A21993,2026-08-07,星期五,板橋店,下午,晴,M0105,紅茶,茶飲,1,50,50.0
A23491,2026-08-25,星期二,板橋店,早上,雨,M1563,紅茶,茶飲,3,50,150.0
A22114,2026-08-09,星期日,信義店,晚上,晴,,美式咖啡,咖啡,2,70,140.0
A22973,2026-08-18,星期二,板橋店,下午,陰,M1205,可頌,烘焙,1,60,60.0
A22012,2026-08-07,星期五,中壢店,下午,晴,M0721,起司蛋糕,烘焙,1,120,120.0
A22090,2026-08-08,星期六,中壢店,晚上,雨,,拿鐵,咖啡,1,90,90.0
A23718,2026-08-28,星期五,板橋店,早上,晴,,抹茶拿鐵,茶飲,1,100,100.0
A23127,2026-08-20,星期四,中壢店,下午,晴,M0055,美式咖啡,咖啡,2,70,140.0
A23058,20260819,星期三,中壢店,下午,晴,,起司蛋糕,烘焙,2,120,240.0
A21977,2026-08-07,星期五,板橋店,早上,晴,M0802,美式咖啡,咖啡,1,70,70.0
A22568,2026/08/14,星期五,板橋店,下午,晴,M0917,拿鐵,咖啡,1,90,90.0
A21555,2026-08-01,星期六,中壢店,下午,雨,M1026,拿鐵,咖啡,2,90,180.0
A21897,2026-08-06,星期四,中壢店,早上,陰,M0253,抹茶拿鐵,茶飲,1,100,100.0
A22270,20260810,星期一,板橋店,下午,晴,M0512,卡布奇諾,咖啡,3,95,285.0
A22211,2026-08-09,星期日,中壢店,早上,晴,,紅茶,茶飲,1,50,50.0
A21526,2026-08-01,星期六,板橋店,下午,雨,,拿鐵,咖啡,3,90,270.0
A23148,2026-08-21,星期五,信義店,下午,陰,,肉桂捲,烘焙,1,85,85.0
A23921,2026-08-30,星期日,板橋店,下午,晴,M1098,肉桂捲,烘焙,1,85,85.0
A22758,2026-08-15,星期六,中壢店,下午,晴,M0697,紅茶,茶飲,2,50,100.0
A21505,2026-08-01,星期六,信義店,下午,雨,M0118,拿鐵,咖啡,1,90,90.0
A21616,2026-08-02,星期日,板橋店,晚上,陰,M1681,抹茶拿鐵,茶飲,3,100,300.0
A23404,2026-08-23,星期日,中壢店,下午,雨,M1026,卡布奇諾,咖啡,3,95,285.0
A22855,2026-08-16,星期日,中壢店,下午,陰,M1517,抹茶拿鐵,茶飲,1,100,100.0
A23778,20260829,星期六,信義店,早上,陰,,美式咖啡,咖啡,1,70,70.0
A23763,2026-08-29,星期六,信義店,下午,陰,M1450,起司蛋糕,烘焙,2,120,240.0
A23993,2026-08-31,星期一,信義店,下午,晴,M0985,肉桂捲,烘焙,1,85,85.0
A22241,2026-08-10,星期一,信義店,早上,晴,M1443,美式咖啡,咖啡,1,70,70.0
A23622,2026-08-27,星期四,板橋店,下午,晴,M1619,紅茶,茶飲,1,50,50.0
A22421,2026-08-12,星期三,中壢店,下午,陰,M1660,紅茶,茶飲,1,50,50.0
A22466,2026-08-13,星期四,板橋店,晚上,晴,M0396,拿鐵,咖啡,1,90,90.0
A23897,2026/08/30,星期日,板橋店,下午,晴,,肉桂捲,烘焙,1,85,85.0
A23503,2026-08-25,星期二,板橋店,下午,雨,M0772,拿鐵,咖啡,8,90,720.0
A23564,2026-08-26,星期三,中壢店,下午,陰,M1770,美式咖啡,咖啡,3,70,210.0
A23683,2026-08-28,星期五,信義店,早上,晴,M1752,卡布奇諾,咖啡,2,95,
A21670,2026-08-03,星期一,信義店,下午,晴,,拿鐵,咖啡,3,90,
A22732,2026-08-15,星期六, 板橋店,下午,晴,,紅茶,茶飲,1,50,50.0
A21979,2026-08-07,星期五,板橋店,下午,晴,M1641,紅茶,茶飲,1,50,50.0
A22160,2026-08-09,星期日,板橋店,早上,晴,,起司蛋糕,烘焙,1,120,120.0
A22325,2026-08-11,星期二,信義店,早上,雨,M1251,卡布奇諾,咖啡,1,95,95.0
A22053,2026-08-08,星期六,板橋店,早上,雨,M0901,卡布奇諾,咖啡,2,95,190.0
A22009,2026-08-07,星期五,中壢店,下午,晴,,美式咖啡,咖啡,1,70,70.0
A23460,2026/08/24,星期一,中壢店,晚上,晴,M0528,可頌,烘焙,3,60,180.0
A23468,2026-08-24,星期一, 中壢店,下午,晴,M1285,美式咖啡,咖啡,1,70,70.0
A22608,2026-08-14,星期五,中壢店,下午,晴,,美式咖啡,咖啡,1,70,70.0
A21716,2026-08-03,星期一,中壢店,下午,晴,,起司蛋糕,烘焙,3,120,360.0
A23085,2026-08-20,星期四,信義店,早上,晴,M1399,可頌,烘焙,1,60,60.0
A23584,2026/08/27,星期四,信義店,下午,晴,,紅茶,茶飲,1,50,50.0
A22614,2026/08/14,星期五,中壢店,下午,晴,M0523,拿鐵,咖啡,3,90,270.0
A21591,2026-08-02,星期日,信義店,早上,陰,,美式咖啡,咖啡,2,70,140.0
A22579,2026-08-14,星期五,板橋店,早上,晴,M0673,可頌,烘焙,1,60,60.0
A22007,2026/08/07,星期五,中壢店,晚上,晴,M0165,拿鐵,咖啡,1,90,90.0
A23577,2026-08-26,星期三,中壢店,早上,陰,M0183,卡布奇諾,咖啡,3,95,285.0
A24014,2026-08-31,星期一,板橋店,早上,晴,,抹茶拿鐵,茶飲,2,100,200.0
A23489,2026-08-25,星期二,板橋店,早上,雨,M1485,美式咖啡,咖啡,1,70,70.0
A23877,2026-08-30,星期日,信義店,晚上,晴,M1825,抹茶拿鐵,茶飲,1,100,100.0
A23950,2026-08-30,星期日,中壢店,晚上,晴,M0335,紅茶,茶飲,2,50,100.0
A22847,2026-08-16,星期日,板橋店 ,下午,陰,,拿鐵,咖啡,3,90,270.0
A23987,2026-08-31,星期一,信義店 ,下午,晴,,拿鐵,咖啡,2,90,180.0
A24000,2026-08-31,星期一,信義店,早上,晴,M1049,紅茶,茶飲,1,50,50.0
A22357,2026-08-12,星期三,信義店,早上,陰,M1586,起司蛋糕,烘焙,3,120,360.0
A21691,2026-08-03,星期一,板橋店,晚上,晴,M1843,可頌,烘焙,1,60,60.0
A22903,2026-08-17,星期一,板橋店,早上,晴,M1992,抹茶拿鐵,茶飲,2,100,200.0
A22559,2026-08-14,星期五,信義店,晚上,晴,,卡布奇諾,咖啡,2,95,190.0
A23620,2026-08-27,星期四,板橋店,早上,晴,,拿鐵,咖啡,2,90,180.0
A23099,2026-08-20,星期四,板橋店,下午,晴,,紅茶,茶飲,3,50,150.0
A22441,2026-08-13,星期四,信義店,晚上,晴,,起司蛋糕,烘焙,1,120,120.0
A23519,2026/08/26,星期三,信義店,晚上,陰,M1982,拿鐵,咖啡,1,90,90.0
A21923,2026-08-07,星期五,信義店,下午,晴,M1368,卡布奇諾,咖啡,2,95,190.0
A21946,2026-08-07,星期五,信義店,下午,晴,,起司蛋糕,烘焙,3,120,360.0
A24043,2026-08-31,星期一,中壢,下午,晴,M0440,拿鐵,咖啡,1,90,90.0
A22276,2026/08/10,星期一,板橋店,早上,晴,M1694,美式咖啡,咖啡,2,70,140.0
A23893,2026-08-30,星期日,板橋店,下午,晴,M1465,拿鐵,咖啡,1,90,90.0
A23673,2026-08-28,星期五,信義店,晚上,晴,M0170,拿鐵,咖啡,1,90,90.0
A21674,2026/08/03,星期一,信義店,早上,晴,M1111,可頌,烘焙,1,60,60.0
A22449,2026-08-13,星期四,信義店,早上,晴,M1185,卡布奇諾,咖啡,1,95,95.0
A21748,2026-08-04,星期二,信義店,早上,雨,,美式咖啡,咖啡,3,70,210.0
A21612,2026-08-02,星期日,板橋店,下午,陰,,可頌,烘焙,3,60,180.0
A23864,2026-08-30,星期日,信義店,早上,晴,M0721,拿鐵,咖啡,1,90,90.0
A21903,2026-08-06,星期四,中壢店,早上,陰,,拿鐵,咖啡,1,90,90.0
A22459,2026-08-13,星期四,信義店,早上,晴,,抹茶拿鐵,茶飲,1,100,100.0
A21879,2026-08-06,星期四,板橋店,早上,陰,M0650,可頌,烘焙,1,60,60.0
A23309,2026-08-22,星期六,板橋店,早上,晴,,起司蛋糕,烘焙,1,120,120.0
A23250,2026-08-22,星期六,信義店,早上,晴,M1193,起司蛋糕,烘焙,1,120,120.0
A21976,2026-08-07,星期五,板橋店,早上,晴,,肉桂捲,烘焙,1,85,85.0
A23180,2026-08-21,星期五,板橋店,早上,陰,M1480,紅茶,茶飲,3,50,150.0
A23057,2026-08-19,星期三,中壢店,下午,晴,M0635,卡布奇諾,咖啡,8,95,760.0
A23780,2026-08-29,星期六,信義店,下午,陰,M1024,肉桂捲,烘焙,1,85,85.0
A22093,2026-08-09,星期日,信義店,下午,晴,M1251,拿鐵,咖啡,1,90,90.0
A21630,2026-08-02,星期日,中壢店,晚上,陰,M1959,卡布奇諾,咖啡,2,95,190.0
A23061,2026-08-19,星期三,中壢店　,早上,晴,,卡布奇諾,咖啡,2,95,190.0
A21986,2026-08-07,星期五,板橋店,下午,晴,M1726,拿鐵,咖啡,1,90,90.0
A23376,2026-08-23,星期日,信義店,早上,雨,M1769,可頌,烘焙,2,60,120.0
A22298,2026-08-10,星期一,中壢店,早上,晴,M0855,起司蛋糕,烘焙,3,120,360.0
A22010,20260807,星期五,中壢店,晚上,晴,M1113,紅茶,茶飲,1,50,50.0
A22531,20260814,星期五,信義店,早上,晴,M1316,拿鐵,咖啡,1,90,90.0
A23699,2026-08-28,星期五,板橋店,下午,晴,M1236,卡布奇諾,咖啡,3,95,285.0
A21902,2026-08-06,星期四,中壢店,下午,陰,,可頌,烘焙,1,60,60.0
A23690,2026-08-28,星期五,信義店,晚上,晴,,美式咖啡,咖啡,1,70,70.0
A23224,2026/08/21,星期五,中壢店,晚上,陰,M1794,美式咖啡,咖啡,1,70,70.0
A22994,2026-08-18,星期二,中壢店,早上,陰,M0883,拿鐵,咖啡,1,90,90.0
A21531,2026-08-01,星期六,板橋店,早上,雨,M1029,可頌,烘焙,1,60,60.0
A23411,2026-08-23,星期日,中壢店,下午,雨,,拿鐵,咖啡,1,90,90.0
A24007,2026-08-31,星期一,板橋店,下午,晴,M0981,拿鐵,咖啡,1,90,90.0
A23586,2026-08-27,星期四,信義店,早上,晴,M1794,美式咖啡,咖啡,1,70,70.0
A22745,2026-08-15,星期六,中壢店,下午,晴,M0199,紅茶,茶飲,1,50,50.0
A21572,2026-08-02,星期日,信義店,下午,陰,,肉桂捲,烘焙,2,85,
A22760,2026-08-15,星期六,中壢店,早上,晴,M0937,美式咖啡,咖啡,1,70,70.0
A23209,2026-08-21,星期五,板橋店,下午,陰,,美式咖啡,咖啡,3,70,210.0
A23251,2026-08-22,星期六,信義店,下午,晴,,拿鐵,咖啡,1,90,90.0
A23870,2026-08-30,星期日,信義店,下午,晴,,抹茶拿鐵,茶飲,1,100,100.0
A21906,2026-08-06,星期四,中壢店,晚上,陰,M0630,紅茶,茶飲,1,50,50.0
A22147,2026-08-09,星期日,信義店,早上,晴,,美式咖啡,咖啡,2,70,
A23131,2026-08-20,星期四,中壢店,下午,晴,,起司蛋糕,烘焙,1,120,120.0
A21827,2026-08-05,星期三,中壢店,早上,雨,,起司蛋糕,烘焙,1,120,120.0
A22632,2026-08-15,星期六,信義店,早上,晴,M1128,起司蛋糕,烘焙,3,120,360.0
A23999,2026-08-31,星期一,信義店,晚上,晴,,拿鐵,咖啡,1,90,90.0
A22193,20260809,星期日,板橋店,早上,晴,,起司蛋糕,烘焙,1,120,120.0
A23947,2026-08-30,星期日,中壢店,晚上,晴,M1793,起司蛋糕,烘焙,3,120,360.0
A21754,2026-08-04,星期二,板橋店,早上,雨,M0806,美式咖啡,咖啡,2,70,140.0
A22085,2026-08-08,星期六,中壢店,早上,雨,M0338,拿鐵,咖啡,2,90,180.0
A22307,2026-08-10,星期一,中壢店,早上,晴,M0901,可頌,烘焙,2,60,120.0
A22225,2026-08-09,星期日,中壢店,下午,晴,,可頌,烘焙,3,60,180.0
A21771,2026-08-04,星期二,中壢店,晚上,雨,M1135,美式咖啡,咖啡,2,70,140.0
X0017,2026-08-03,星期一,板橋店,晚上,晴,,紅茶,茶飲,0,50,0.0
A22515,2026-08-14,星期五,信義店,早上,晴,,抹茶拿鐵,茶飲,2,100,200.0
A22477,2026/08/13,星期四,板橋店,下午,晴,M0837,美式咖啡,咖啡,2,70,140.0
A21779,2026-08-04,星期二,中壢店,早上,雨,,可頌,烘焙,1,60,60.0
A22249,2026-08-10,星期一,信義店,晚上,晴,,起司蛋糕,烘焙,1,120,120.0
A23925,2026-08-30,星期日,板橋店,下午,晴,M0182,美式咖啡,咖啡,3,70,210.0
A22309,2026-08-10,星期一,中壢店,晚上,晴,M1411,紅茶,茶飲,3,50,150.0
A21681,2026-08-03,星期一,信義店,下午,晴,M0264,拿鐵,咖啡,2,90,180.0
A22836,2026-08-16,星期日,板橋店,下午,陰,M1458,美式咖啡,咖啡,2,70,140.0
A23013,2026-08-19,星期三,信義店,下午,晴,,拿鐵,咖啡,1,90,90.0
A23314,2026-08-22,星期六,板橋店,下午,晴,M0137,美式咖啡,咖啡,1,70,70.0
A21829,2026-08-05,星期三,中壢店,早上,雨,M1493,起司蛋糕,烘焙,8,120,960.0
A21680,2026-08-03,星期一,信義店,早上,晴,M0314,拿鐵,咖啡,1,90,90.0
A23710,2026-08-28,星期五,板橋店,下午,晴,M0765,卡布奇諾,咖啡,3,95,285.0
A22921,2026-08-17,星期一,板橋店,早上,晴,,起司蛋糕,烘焙,1,120,120.0
A23578,2026-08-26,星期三,中壢店,早上,陰,M0825,紅茶,茶飲,3,50,150.0
A23087,2026-08-20,星期四,信義店,早上,晴,M1765,美式咖啡,咖啡,1,70,70.0
A22233,2026/08/09,星期日,中壢店,晚上,晴,M0865,美式咖啡,咖啡,1,70,70.0
A23361,20260823,星期日,信義店,早上,雨,,肉桂捲,烘焙,2,85,170.0
A23700,2026-08-28,星期五,板橋店,晚上,晴,M0470,美式咖啡,咖啡,2,70,140.0
A22342,20260811,星期二,板橋店,晚上,雨,,美式咖啡,咖啡,1,70,70.0
A23579,2026-08-26,星期三,中壢店　,早上,陰,,拿鐵,咖啡,1,90,90.0
A21547,2026-08-01,星期六,中壢店,晚上,雨,,起司蛋糕,烘焙,1,120,120.0
A23505,2026-08-25,星期二,板橋店,晚上,雨,M0157,美式咖啡,咖啡,1,70,70.0
A22747,2026-08-15,星期六,中壢店,早上,晴,,紅茶,茶飲,1,50,50.0
A22285,20260810,星期一,板橋店,下午,晴,,紅茶,茶飲,3,50,150.0
A22473,2026-08-13,星期四,板橋店,下午,晴,M1737,拿鐵,咖啡,2,90,180.0
A22508,2026-08-13,星期四,中壢店,晚上,晴,,紅茶,茶飲,1,50,50.0
A22692,2026-08-15,星期六,板橋店,下午,晴,,可頌,烘焙,3,60,180.0
X0007,2026-08-03,星期一,板橋店,下午,晴,,拿鐵,咖啡,0,90,0.0
A21852,2026-08-06,星期四,信義店,晚上,陰,M0198,卡布奇諾,咖啡,1,95,95.0
A22005,2026-08-07,星期五,中壢店,早上,晴,,卡布奇諾,咖啡,1,95,95.0
A22157,2026/08/09,星期日,板橋店,下午,晴,M1179,起司蛋糕,烘焙,10,120,1200.0
A22221,2026-08-09,星期日,中壢店,早上,晴,M1741,抹茶拿鐵,茶飲,1,100,100.0
A23017,2026-08-19,星期三,信義店,下午,晴,M0218,拿鐵,咖啡,1,90,90.0
A23802,2026-08-29,星期六,板橋店,下午,陰,M1646,拿鐵,咖啡,3,90,270.0
A22717,2026-08-15,星期六,板橋店,晚上,晴,,可頌,烘焙,1,60,60.0
A23753,2026-08-28,星期五,中壢店,早上,晴,,紅茶,茶飲,1,50,50.0
A22220,2026-08-09,星期日,中壢店,早上,晴,M1072,美式咖啡,咖啡,3,70,210.0
A23201,2026/08/21,星期五,板橋店,早上,陰,M0985,起司蛋糕,烘焙,1,120,120.0
A21683,2026-08-03,星期一,板橋店,早上,晴,M1270,拿鐵,咖啡,1,90,90.0
A22918,2026-08-17,星期一,板橋店,早上,晴,,肉桂捲,烘焙,2,85,170.0
A22006,2026-08-07,星期五,中壢店,下午,晴,,抹茶拿鐵,茶飲,1,100,100.0
A22857,2026-08-16,星期日,中壢店,晚上,陰,M0353,紅茶,茶飲,1,50,50.0
A22086,2026-08-08,星期六,中壢店,早上,雨,,美式咖啡,咖啡,2,70,140.0
A22607,2026-08-14,星期五,中壢店,下午,晴,M1886,卡布奇諾,咖啡,1,9500,9500.0
A21845,2026-08-06,星期四,信義店,早上,陰,M1236,紅茶,茶飲,1,50,50.0
A21499,2026-08-01,星期六,信義店,早上,雨,,美式咖啡,咖啡,3,70,210.0
A22354,2026-08-11,星期二,中壢店,晚上,雨,M1892,肉桂捲,烘焙,2,85,170.0
A23500,2026-08-25,星期二,板橋店,下午,雨,M0165,起司蛋糕,烘焙,2,120,240.0
A23318,2026-08-22,星期六,板橋店,早上,晴,M0099,卡布奇諾,咖啡,1,95,95.0
A23400,2026-08-23,星期日,中壢店,下午,雨,M0151,美式咖啡,咖啡,3,70,210.0
A22243,2026-08-10,星期一,信義店,晚上,晴,M0122,美式咖啡,咖啡,2,70,140.0
A22168,2026-08-09,星期日,板橋店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23719,2026/08/28,星期五,板橋店,下午,晴,M1961,美式咖啡,咖啡,1,70,70.0
A23810,2026-08-29,星期六,板橋店,晚上,陰,,美式咖啡,咖啡,1,70,70.0
A21800,2026-08-05,星期三,信義店,下午,雨,M0880,肉桂捲,烘焙,2,85,170.0
A21989,2026-08-07,星期五,板橋店,下午,晴,,可頌,烘焙,1,60,60.0
A23664,2026-08-28,星期五,信義店,早上,晴,M1048,美式咖啡,咖啡,2,70,140.0
A23402,2026-08-23,星期日,中壢店,下午,雨,,美式咖啡,咖啡,1,70,70.0
A22351,2026-08-11,星期二,中壢店,晚上,雨,,美式咖啡,咖啡,2,70,140.0
A24012,2026-08-31,星期一,板橋店,下午,晴,,卡布奇諾,咖啡,3,95,285.0
A23222,2026-08-21,星期五,中壢店,下午,陰,M0151,拿鐵,咖啡,1,90,90.0
A21894,2026-08-06,星期四,中壢店,下午,陰,,抹茶拿鐵,茶飲,1,100,100.0
A23315,2026-08-22,星期六,板橋店,下午,晴,M1949,肉桂捲,烘焙,1,85,85.0
A23383,2026-08-23,星期日,板橋店,早上,雨,M0882,美式咖啡,咖啡,2,70,140.0
A23889,2026-08-30,星期日,板橋店,早上,晴,M1884,美式咖啡,咖啡,1,70,70.0
A23577,2026-08-26,星期三,中壢店,早上,陰,M0183,卡布奇諾,咖啡,3,95,285.0
A21732,2026-08-04,星期二,信義店,早上,雨,M1526,可頌,烘焙,1,60,60.0
A21975,2026-08-07,星期五,板橋店,早上,晴,M0247,美式咖啡,咖啡,1,70,70.0
A23708,2026-08-28,星期五,板橋店,下午,晴,M1625,紅茶,茶飲,3,50,150.0
A23632,2026-08-27,星期四,板橋店,下午,晴,,可頌,烘焙,2,60,120.0
A21819,2026-08-05,星期三,中壢店,早上,雨,,美式咖啡,咖啡,1,70,70.0
A22216,2026-08-09,星期日,中壢店,下午,晴,M0926,拿鐵,咖啡,3,90,270.0
A21738,2026-08-04,星期二,信義店,晚上,雨,,拿鐵,咖啡,1,90,90.0
A22215,2026-08-09,星期日,中壢店,早上,晴,M0879,拿鐵,咖啡,3,90,270.0
A23568,2026-08-26,星期三,中壢店,晚上,陰,,起司蛋糕,烘焙,1,120,120.0
A23563,2026-08-26,星期三,板橋店,下午,陰,M0983,拿鐵,咖啡,3,90,270.0
A23045,2026-08-19,星期三,板橋店,早上,晴,M0223,美式咖啡,咖啡,3,70,210.0
A23048,2026-08-19,星期三,板橋店,下午,晴,M0043,卡布奇諾,咖啡,1,95,95.0
A23363,20260823,星期日,信義店,晚上,雨,,美式咖啡,咖啡,1,70,70.0
A21540,2026/08/01,星期六,板橋店,早上,雨,M1260,紅茶,茶飲,3,50,150.0
A23662,2026-08-28,星期五,信義店,早上,晴,,抹茶拿鐵,茶飲,2,100,200.0
A23887,2026-08-30,星期日,信義店,下午,晴,,美式咖啡,咖啡,2,70,140.0
A23462,2026-08-24,星期一,中壢店,下午,晴,M0090,拿鐵,咖啡,1,90,90.0
A21795,2026-08-05,星期三,信義店,晚上,雨,M0545,肉桂捲,烘焙,3,85,255.0
A22471,2026-08-13,星期四,板橋店,晚上,晴,M1097,卡布奇諾,咖啡,3,95,285.0
A22071,2026-08-08,星期六,板橋店,早上,雨,,美式咖啡,咖啡,2,70,140.0
A22565,2026-08-14,星期五,板橋店,下午,晴,,拿鐵,咖啡,1,90,90.0
A21755,2026-08-04,星期二, 板橋店,早上,雨,M0155,紅茶,茶飲,3,50,150.0
A23643,20260827,星期四,中壢店,早上,晴,M1493,抹茶拿鐵,茶飲,1,100,100.0
A23447,2026-08-24,星期一,板橋店,晚上,晴,,拿鐵,咖啡,1,90,90.0
A22360,2026-08-12,星期三,信義店,下午,陰,M1844,美式咖啡,咖啡,1,70,70.0
A23512,2026-08-25,星期二,中壢店,下午,雨,M1955,抹茶拿鐵,茶飲,1,100,100.0
A23018,2026-08-19,星期三,信義店,早上,晴,M0671,抹茶拿鐵,茶飲,1,100,100.0
